,UniProt1,UniProt2,symbol1,symbol2,evidence type
426,O76075,P24855,DFFB,DNASE1,pred
427,O76075,Q13609,DFFB,DNASE1L3,pred
428,O76080,P21580,ZFAND5,TNFAIP3,exp
429,O76080,Q13546,ZFAND5,RIPK1,exp
430,O94768,Q13546,STK17B,RIPK1,pred
431,O94804,Q13546,STK10,RIPK1,pred
432,O94806,Q13546,PRKD3,RIPK1,pred
433,O94813,P0C0L4,SLIT2,C4A,pred
434,O94813,P11215,SLIT2,ITGAM,pred
435,O94832,Q13546,MYO1D,RIPK1,pred
436,O94868,P19878,FCHSD2,NCF2,pred
437,O94885,P19878,SASH1,NCF2,pred
438,O94888,P19878,UBXN7,NCF2,pred
439,O94921,P21580,CDK14,TNFAIP3,pred
440,O94921,Q13546,CDK14,RIPK1,pred
441,O94972,P21580,TRIM37,TNFAIP3,pred
442,O94986,Q13568,CEP152,IRF5,exp
443,O95084,P02741,PRSS23,CRP,exp
444,O95150,P23510,TNFSF15,TNFSF4,pred
445,O95150,Q13546,TNFSF15,RIPK1,pred
446,O95163,P21580,ELP1,TNFAIP3,pred
447,O95166,Q13546,GABARAP,RIPK1,pred
448,O95256,P11215,IL18RAP,ITGAM,pred
449,O95267,Q8WXI2,RASGRP1,CNKSR2,pred
450,O95267,O95294,RASGRP1,RASAL1,pred
451,O95267,Q9NRJ4,RASGRP1,TULP4,pred
452,O95267,P62070,RASGRP1,RRAS2,pred
453,O95267,Q9UN86,RASGRP1,G3BP2,pred
454,O95267,Q96BD6,RASGRP1,SPSB1,pred
455,O95267,Q02779,RASGRP1,MAP3K10,pred
456,O95267,Q99619,RASGRP1,SPSB2,pred
457,O95267,P59190,RASGRP1,RAB15,pred
458,O95267,Q6ZV89,RASGRP1,SH2D5,pred
459,O95267,Q96D21,RASGRP1,RASD2,pred
460,O95267,Q9NYI0,RASGRP1,PSD3,pred
461,O95267,Q13574,RASGRP1,DGKZ,exp;pred
462,O95267,Q8WXI3,RASGRP1,ASB10,pred
463,O95267,Q8TAI7,RASGRP1,RHEBL1,pred
464,O95267,Q9NR81,RASGRP1,ARHGEF3,pred
465,O95267,Q9ULW5,RASGRP1,RAB26,pred
466,O95267,Q96P47,RASGRP1,AGAP3,pred
467,O95267,P55290,RASGRP1,CDH13,pred
468,O95267,Q9UHV5,RASGRP1,RAPGEFL1,pred
469,O95267,Q9Y576,RASGRP1,ASB1,pred
470,O95267,P62993,RASGRP1,GRB2,pred
471,O95267,P06239,RASGRP1,LCK,pred
472,O95267,P46109,RASGRP1,CRKL,pred
473,O95267,Q8WXH5,RASGRP1,SOCS4,pred
474,O95267,Q05513,RASGRP1,PRKCZ,pred
475,O95267,Q9Y575,RASGRP1,ASB3,pred
476,O95267,Q9BR09,RASGRP1,NEURL2,pred
477,O95267,P20936,RASGRP1,RASA1,pred
478,O95267,Q8WXK3,RASGRP1,ASB13,pred
479,O95267,Q5VST9,RASGRP1,OBSCN,pred
480,O95267,Q14155,RASGRP1,ARHGEF7,pred
481,O95267,Q9NYB9,RASGRP1,ABI2,pred
482,O95267,P20337,RASGRP1,RAB3B,pred
483,O95267,P52735,RASGRP1,VAV2,pred
484,O95267,Q9Y272,RASGRP1,RASD1,pred
485,O95267,P01112,RASGRP1,HRAS,exp;pred
486,O95267,Q9NYS0,RASGRP1,NKIRAS1,pred
487,O95267,P78423,RASGRP1,CX3CL1,pred
488,O95267,P01116,RASGRP1,KRAS,pred
489,O95267,Q9NYS7,RASGRP1,WSB2,pred
490,O95267,Q96A44,RASGRP1,SPSB4,pred
491,O95267,Q6ZV73,RASGRP1,FGD6,pred
492,O95267,Q9NRW1,RASGRP1,RAB6B,pred
493,O95267,Q13387,RASGRP1,MAPK8IP2,pred
494,O95267,Q99819,RASGRP1,ARHGDIG,pred
495,O95267,P24723,RASGRP1,PRKCH,pred
496,O95267,Q86WV1,RASGRP1,SKAP1,pred
497,O95267,Q8WXH4,RASGRP1,ASB11,pred
498,O95267,P40337,RASGRP1,VHL,exp
499,O95267,Q9NUT2,RASGRP1,ABCB8,exp
500,O95267,Q02156,RASGRP1,PRKCE,pred
501,O95267,Q96S21,RASGRP1,RAB40C,pred
502,O95267,P20336,RASGRP1,RAB3A,pred
503,O95267,Q76G19,RASGRP1,PDZD4,pred
504,O95267,Q12829,RASGRP1,RAB40B,pred
505,O95267,Q9H765,RASGRP1,ASB8,pred
506,O95267,Q8N5V2,RASGRP1,NGEF,pred
507,O95267,Q8WXH6,RASGRP1,RAB40A,pred
