,interactor
1232,AGRN
1233,FADD
1234,GDF11
1235,MS4A1
1236,PXDN
1237,FHOD1
1238,IFNAR1
1239,PIDD1
1240,LAIR1
1241,PCDHGA7
1242,COPS4
1243,PTPN22
1244,PRSS23
1245,TCP1
1246,TIRAP
1247,NRXN1
1248,RASD1
1249,DFFA
1250,ASB1
1251,EPHA10
1252,C4BPB
1253,TGFB1
1254,HTR5A
1255,LY9
1256,CEBPG
1257,CLEC2B
1258,PTPN4
1259,HNRNPH1
1260,RPS3A
1261,IGF1R
1262,SNX18
1263,NPTX2
1264,BAG4
1265,MYL12A
1266,ARHGEF11
1267,MMP25
1268,ZNF467
1269,LRP1
1270,KRR1
1271,APIP
1272,PSD
1273,HAX1
1274,IGFBP7
1275,TSSK6
1276,BAG1
1277,UBASH3A
1278,NID1
1279,AANAT
1280,-
1281,NEK8
1282,CFB
1283,DYRK3
1284,MAP2K4
1285,HIST1H2AI
1286,LY96
1287,MYBPC3
1288,BOC
1289,TACC3
1290,SELPLG
1291,LY6E
1292,PAUF
1293,YWHAQ
1294,PIK3R3
1295,HK3
1296,ARHGAP15
1297,RUNX3
1298,F13A1
1299,CREBBP
1300,HNRNPU
1301,CD58
1302,PLA2G6
1303,SH3BP4
1304,RAF1
1305,INTS4
1306,CDKN2C
1307,USP8
1308,CLEC4G
1309,TUBB4B
1310,DECR1
1311,MAP3K8
1312,PIK3CB
1313,C20orf24
1314,IL2RG
1315,SKI
1316,DDB1
1317,PAX9
1318,SOCS2
1319,EDARADD
1320,CD8B
1321,TEK
1322,IL4R
1323,PIK3CD
1324,ATRN
1325,IL18R1
1326,STK38L
1327,CYP2A6
1328,CHEK2
1329,IL18BP
1330,CEP152
1331,ABI2
1332,NOXO1
1333,PHGDH
1334,MCM7
1335,VWF
1336,DDR2
1337,RPS27A
1338,YAP1
1339,CLK1
1340,TUBB2B
1341,PPM1B
1342,LATS1
1343,PIK3CA
1344,RIN1
1345,DAXX
1346,BMX
1347,AATF
1348,CFL2
1349,TBX21
1350,TNK1
1351,HIST1H2AG
1352,RMDN3
1353,TRIM8
1354,TGFBR2
1355,LILRB2
1356,PSTPIP2
1357,HSPA2
1358,RASAL1
1359,PARD3
1360,XCL1
1361,TAF1
1362,LBP
1363,HNRNPA1
1364,COL7A1
1365,LRP8
1366,FAM171B
1367,PTHLH
1368,IFNA16
1369,C7
1370,TRA2B
1371,LARS
1372,SVEP1
1373,C1QBP
1374,TLR1
1375,DOK2
1376,BMPR2
1377,HERPUD1
1378,VCAN
1379,HIST1H4J
1380,EPB41L3
1381,SH3RF1
1382,IRF3
1383,ANK1
1384,UBFD1
1385,EPS8L2
1386,PKN3
1387,FN1
1388,ITGA11
1389,TLE3
1390,CTSL
1391,KLF5
1392,SYNJ2
1393,HDAC1
1394,NRBP1
1395,ITPR2
1396,NKX2-5
1397,CELSR1
1398,IFITM1
1399,AIDA
1400,PICK1
1401,LILRA6
1402,PHRF1
1403,CSF2RB
1404,OCLN
1405,SLC25A16
1406,UBXN11
1407,MYLK2
1408,MAPK11
1409,STK17A
1410,EPHB1
1411,ZNF655
1412,STAB1
1413,PCDHAC1
1414,CEACAM8
1415,PRDX6
1416,C5AR1
1417,CFHR4
1418,LAMP1
1419,CNKSR2
1420,DNAJB4
1421,SLAMF7
1422,NLRC5
1423,RHBDF2
1424,USP18
1425,LRRC47
1426,PAK3
1427,PLAU
1428,CEBPE
1429,PCLAF
1430,CFD
1431,PRKCB
1432,SOD3
1433,TARDBP
1434,WWP2
1435,RPS16
1436,SH2D1B
1437,ACVRL1
1438,TNP2
1439,RTEL1
1440,BAG6
1441,PTK2
1442,ILK
1443,TULP4
1444,PTPN18
1445,CNTN2
1446,SLC25A46
1447,G3BP2
1448,DCP2
1449,PAX4
1450,CHST3
1451,KIRREL2
1452,CANX
1453,GZMK
1454,RIMBP2
1455,IL13
1456,EXO1
1457,DENND6A
1458,IFNB1
1459,WDR34
1460,ABCB8
1461,REL
1462,MOG
1463,NOD1
1464,PDPK1
1465,C4B_2
1466,SHANK3
1467,P2RY4
1468,DBH
1469,CCNA2
1470,HIPK1
1471,SPECC1L
1472,CDC42BPB
1473,CX3CR1
1474,EGF
1475,CLEC10A
1476,TRIM2
1477,WWC1
1478,PTPRO
1479,MCF2L
1480,GATA2
1481,TUBB
1482,PARD6B
1483,CDC25B
1484,PRKAA1
1485,SUMO4
1486,CDKN2B
1487,UBTD1
1488,TGFBR1
1489,ARHGDIB
1490,DDR1
1491,JAML
1492,PPP1R12A
1493,HSCB
1494,STC2
1495,PELI3
1496,IL6R
1497,FASLG
1498,TLR6
1499,NCK1
1500,DGKH
1501,PTK6
1502,CTDNEP1
1503,ABL2
1504,RLIM
1505,C6
1506,CD300A
1507,ALKAL1
1508,TNFRSF12A
1509,PTPRM
1510,FKBP5
1511,WDR61
1512,CDK5
1513,CXCR4
1514,GP6
1515,CDKL5
1516,PARD6G
1517,PPP6R3
1518,RBL1
1519,TYK2
1520,MDM2
1521,NTAN1
1522,HSP90AB1
1523,TUBA1B
1524,NBN
1525,DNASE1L3
1526,MYCBP2
1527,DUSP6
1528,TUBA3D
1529,DOCK2
1530,COL6A5
1531,IRF1
1532,ADAMDEC1
1533,NRXN3
1534,ACVR1
1535,IL1RL2
1536,FCGR1B
1537,SPOP
1538,MAPK14
1539,RAB40B
1540,DAPK2
1541,IRAK2
1542,LIMS2
1543,EEF1A2
1544,TLR3
1545,TMEM2
1546,CR2
1547,FAM3C
1548,CLIP3
1549,NECTIN2
1550,GRB10
1551,CR1
1552,RASSF5
1553,FCHSD1
1554,SNX14
1555,CRP
1556,CILP2
1557,STK11
1558,CCT7
1559,NCKIPSD
1560,ACVR2B
1561,GNG12
1562,DST
1563,PRKACA
1564,DIABLO
